paper_id,conference,analysis_stratum,sample_cohort,sentence_count,sequence
icml-2026-7f1780627873,ICML,outstanding,foundation_200,7,object_scope → core_idea → problem_gap+qualitative_result+limitation → core_idea+qualitative_result → problem_gap+impact_claim → core_idea+method → method+quantitative_result+impact_claim
icml-2026-4e7a98266982,ICML,spotlight,foundation_200,7,object_scope+problem_gap → object_scope → problem_gap → core_idea+method → theory+core_idea → method → qualitative_result+experimental_setup+impact_claim
icml-2026-71db38223110,ICML,spotlight,foundation_200,6,object_scope → problem_gap → core_idea+method → core_idea → method+theory → experimental_setup+qualitative_result+impact_claim
icml-2026-5cb9c5807bca,ICML,spotlight,foundation_200,8,object_scope+problem_gap → problem_gap → core_idea+method → method → core_idea+impact_claim → object_scope+method → method → qualitative_result+impact_claim
icml-2026-8b22afb8c5ae,ICML,spotlight,foundation_200,8,object_scope → core_idea+method → theory → theory+quantitative_result → method+theory → impact_claim → experimental_setup+qualitative_result → impact_claim
icml-2026-1c5182bdf0c8,ICML,spotlight,foundation_200,5,object_scope+problem_gap → method → core_idea+method → experimental_setup+quantitative_result → qualitative_result+impact_claim
icml-2026-ed7dc4e0461b,ICML,spotlight,foundation_200,9,object_scope → problem_gap → problem_gap+limitation → problem_gap → object_scope+core_idea → method → experimental_setup+quantitative_result+qualitative_result → experimental_setup+method → qualitative_result+limitation
icml-2026-2d22f08859e8,ICML,spotlight,foundation_200,7,object_scope+problem_gap → problem_gap → core_idea+method → core_idea+method → experimental_setup → quantitative_result+qualitative_result+impact_claim → impact_claim
icml-2026-67206cc61e49,ICML,spotlight,foundation_200,9,object_scope → problem_gap+limitation → problem_gap → problem_gap → core_idea+method → method+theory → qualitative_result+impact_claim → theory+impact_claim → experimental_setup+qualitative_result+impact_claim
icml-2026-6b81cf37c92f,ICML,spotlight,foundation_200,7,object_scope+problem_gap → core_idea+method → theory+qualitative_result → qualitative_result → core_idea+method → experimental_setup+qualitative_result+impact_claim → impact_claim
icml-2026-cca969cd8cab,ICML,spotlight,foundation_200,8,object_scope → problem_gap → problem_gap+limitation → core_idea+method → qualitative_result → experimental_setup+qualitative_result → quantitative_result → quantitative_result+limitation
icml-2026-a53de8003ce0,ICML,spotlight,foundation_200,7,object_scope+problem_gap → core_idea+method → core_idea+method → method → method+core_idea → experimental_setup+quantitative_result+qualitative_result+impact_claim → impact_claim
icml-2026-159ec0c7baad,ICML,spotlight,foundation_200,9,object_scope+problem_gap → problem_gap → problem_gap → core_idea+method → method → method → method → experimental_setup+quantitative_result+qualitative_result+impact_claim → qualitative_result+impact_claim
icml-2026-44d93fac8702,ICML,spotlight,foundation_200,7,object_scope+problem_gap → problem_gap → core_idea+method → object_scope+theory → core_idea+method → experimental_setup+qualitative_result → qualitative_result+impact_claim
icml-2026-12ceaf196f4d,ICML,spotlight,foundation_200,9,object_scope → object_scope → object_scope+problem_gap → core_idea+method → qualitative_result → method+qualitative_result → qualitative_result+limitation → experimental_setup+quantitative_result+impact_claim → impact_claim
icml-2026-57e09ec1b6ac,ICML,spotlight,foundation_200,9,object_scope+experimental_setup → problem_gap → problem_gap → theory+qualitative_result → core_idea → method+impact_claim → experimental_setup+qualitative_result → impact_claim → impact_claim
icml-2026-5d3146110f97,ICML,spotlight,foundation_200,7,object_scope → object_scope+problem_gap → problem_gap → core_idea+method+theory → problem_gap+method → quantitative_result+qualitative_result+impact_claim → impact_claim
icml-2026-ed7f31d45d4a,ICML,spotlight,foundation_200,7,object_scope → method+theory → theory → core_idea+method → qualitative_result+theory → quantitative_result+theory → theory+limitation
icml-2026-1dfcf4c8869d,ICML,spotlight,foundation_200,5,object_scope+problem_gap → problem_gap → core_idea → method → qualitative_result+impact_claim
icml-2026-cd054c2b1c0a,ICML,spotlight,foundation_200,9,object_scope+problem_gap → problem_gap → core_idea+method → method → method+problem_gap → method+impact_claim → theory+impact_claim → theory → experimental_setup+qualitative_result
icml-2026-35879ec17414,ICML,spotlight,foundation_200,7,object_scope → problem_gap → core_idea+method → theory → method → experimental_setup+quantitative_result → qualitative_result+impact_claim
icml-2026-388e7825c92c,ICML,spotlight,foundation_200,6,object_scope → object_scope+problem_gap → problem_gap+qualitative_result → problem_gap+core_idea → core_idea+method → qualitative_result+impact_claim
icml-2026-65a15e969ebf,ICML,spotlight,foundation_200,9,object_scope+problem_gap → problem_gap+limitation → core_idea+method → method → method → theory → experimental_setup+qualitative_result → quantitative_result+qualitative_result+impact_claim → impact_claim
icml-2026-92c2d1498431,ICML,spotlight,foundation_200,8,object_scope → problem_gap → core_idea+method+theory → core_idea+method → theory+qualitative_result → method+theory+quantitative_result → impact_claim → theory+impact_claim
icml-2026-4e1dcbf5b839,ICML,spotlight,foundation_200,8,object_scope+problem_gap → problem_gap → object_scope+problem_gap → core_idea+method → method+core_idea → method+limitation → experimental_setup+quantitative_result+impact_claim → impact_claim
icml-2026-73ef6e227632,ICML,spotlight,foundation_200,8,object_scope → problem_gap → core_idea+method → theory → method → quantitative_result+qualitative_result → method → quantitative_result+impact_claim
icml-2026-2801956159d6,ICML,spotlight,foundation_200,8,object_scope+problem_gap → object_scope → problem_gap → theory+core_idea → method → method → quantitative_result → impact_claim
icml-2026-a6577855483d,ICML,spotlight,foundation_200,7,object_scope → object_scope → problem_gap → core_idea+method+impact_claim → method → theory → experimental_setup
icml-2026-2b91f2863fcf,ICML,spotlight,foundation_200,6,object_scope+problem_gap → problem_gap+core_idea → core_idea+method → method+qualitative_result → method+impact_claim → qualitative_result+impact_claim
icml-2026-cdec10979815,ICML,spotlight,foundation_200,5,object_scope+problem_gap → object_scope+core_idea → problem_gap → core_idea+method+experimental_setup → qualitative_result+impact_claim
icml-2026-61bea4dcf717,ICML,spotlight,foundation_200,6,object_scope → problem_gap → core_idea+method → qualitative_result+problem_gap → core_idea+method+qualitative_result → impact_claim
icml-2026-19ec66cff1c1,ICML,spotlight,foundation_200,8,object_scope → problem_gap → core_idea+theory → theory → theory → method → theory → qualitative_result+impact_claim
icml-2026-da310238c4b0,ICML,spotlight,foundation_200,6,object_scope+problem_gap → problem_gap → core_idea+method → method → method+theory → experimental_setup+quantitative_result
icml-2026-447e2cef4c1c,ICML,spotlight,foundation_200,9,object_scope+problem_gap → problem_gap → problem_gap → object_scope+problem_gap → core_idea+method → qualitative_result+impact_claim → core_idea+method → method+impact_claim → experimental_setup+quantitative_result+impact_claim
icml-2026-536d8d3e0efc,ICML,spotlight,foundation_200,7,object_scope+problem_gap → problem_gap → core_idea+object_scope → theory → method → theory → experimental_setup+qualitative_result
icml-2026-07e2bc33888c,ICML,spotlight,foundation_200,7,object_scope → problem_gap+method → problem_gap+core_idea → object_scope+limitation → core_idea+method → quantitative_result+impact_claim → impact_claim
icml-2026-f1190e536fe9,ICML,spotlight,foundation_200,10,object_scope+method → problem_gap+limitation → core_idea+problem_gap → method+experimental_setup → method+theory → theory → theory+qualitative_result → qualitative_result → experimental_setup+qualitative_result → impact_claim
icml-2026-42cbf99e9181,ICML,spotlight,foundation_200,8,object_scope+problem_gap → core_idea+theory → core_idea+qualitative_result → method → experimental_setup+qualitative_result → qualitative_result → qualitative_result → impact_claim
icml-2026-f746984a28d8,ICML,spotlight,foundation_200,7,object_scope+core_idea → theory+method → core_idea+method → method → method → experimental_setup+qualitative_result → impact_claim
icml-2026-7531b7c768a9,ICML,spotlight,foundation_200,13,object_scope → method → problem_gap → problem_gap → core_idea+method → experimental_setup+quantitative_result+qualitative_result → method+problem_gap → qualitative_result → quantitative_result+qualitative_result → qualitative_result+problem_gap → method+qualitative_result → qualitative_result+limitation+impact_claim → impact_claim
icml-2026-315bbaf35118,ICML,spotlight,foundation_200,11,object_scope+problem_gap → problem_gap → core_idea+method → method → core_idea+method → method → method → core_idea → method → experimental_setup+qualitative_result → impact_claim
icml-2026-114dd793a5be,ICML,spotlight,foundation_200,5,object_scope+problem_gap → core_idea+method → qualitative_result+problem_gap → core_idea+method → experimental_setup+qualitative_result+impact_claim
icml-2026-f46849c406ca,ICML,spotlight,foundation_200,8,object_scope → problem_gap → problem_gap+core_idea → core_idea+method → method → method → experimental_setup+qualitative_result+impact_claim → impact_claim
icml-2026-9ab4cfd38016,ICML,spotlight,foundation_200,7,object_scope+problem_gap → core_idea → method+object_scope → method+experimental_setup → experimental_setup+quantitative_result → quantitative_result+qualitative_result → qualitative_result+impact_claim
icml-2026-4d6c3bd9ff61,ICML,spotlight,foundation_200,7,object_scope → problem_gap → core_idea+method → method → method+experimental_setup → qualitative_result+impact_claim → impact_claim
icml-2026-942a8496990b,ICML,spotlight,foundation_200,7,problem_gap → object_scope → core_idea+method → method+theory → theory+qualitative_result → theory+qualitative_result → experimental_setup+qualitative_result+limitation+impact_claim
icml-2026-184e90336c6b,ICML,spotlight,foundation_200,8,object_scope+problem_gap → problem_gap → core_idea+method+object_scope → method → method → method → method+theory → qualitative_result+impact_claim
icml-2026-fea2d498a956,ICML,spotlight,foundation_200,7,object_scope → problem_gap → core_idea+method → theory+core_idea → method → qualitative_result+impact_claim → experimental_setup+qualitative_result+impact_claim
icml-2026-1d55d472edbc,ICML,spotlight,foundation_200,7,object_scope+problem_gap → core_idea+method → core_idea+impact_claim → problem_gap+object_scope → method+core_idea → theory+qualitative_result → experimental_setup+qualitative_result
icml-2026-8d39ec884840,ICML,spotlight,foundation_200,6,object_scope+problem_gap → problem_gap+impact_claim → core_idea+method → experimental_setup+qualitative_result → method+qualitative_result → impact_claim
