conference,analysis_stratum,dimension,value,papers,papers_present,paper_prevalence,count_n,count_mean,count_trimmed_mean_20,count_median,count_q1,count_q3,count_min,count_max
ICLR,oral,claim_status,partially_closed,4,4,1.0,4,5.25,5.25,5.0,4.75,5.5,4.0,7.0
ICLR,outstanding,visual_kind,figure,2,1,0.5,2,5.0,5.0,5.0,2.5,7.5,0.0,10.0
ICLR,outstanding,visual_kind,table,2,1,0.5,2,5.0,5.0,5.0,2.5,7.5,0.0,10.0
ICLR,outstanding,visual_module,abstract,2,1,0.5,2,0.5,0.5,0.5,0.25,0.75,0.0,1.0
ICLR,outstanding,visual_module,appendix,2,1,0.5,2,7.0,7.0,7.0,3.5,10.5,0.0,14.0
ICLR,outstanding,visual_module,experimental_design,2,1,0.5,2,0.5,0.5,0.5,0.25,0.75,0.0,1.0
ICLR,outstanding,visual_module,method,2,1,0.5,2,1.0,1.0,1.0,0.5,1.5,0.0,2.0
ICLR,outstanding,visual_module,results,2,1,0.5,2,1.0,1.0,1.0,0.5,1.5,0.0,2.0
ICLR,outstanding,theory_kind,corollary,2,1,0.5,2,1.5,1.5,1.5,0.75,2.25,0.0,3.0
ICLR,outstanding,theory_kind,displayed_equation,2,1,0.5,2,4.0,4.0,4.0,2.0,6.0,0.0,8.0
ICLR,outstanding,theory_kind,lemma,2,1,0.5,2,1.0,1.0,1.0,0.5,1.5,0.0,2.0
ICLR,outstanding,theory_kind,numbered_equation,2,1,0.5,2,6.0,6.0,6.0,3.0,9.0,0.0,12.0
ICLR,outstanding,theory_kind,proof,2,1,0.5,2,3.5,3.5,3.5,1.75,5.25,0.0,7.0
ICLR,outstanding,theory_kind,proposition,2,1,0.5,2,3.5,3.5,3.5,1.75,5.25,0.0,7.0
ICLR,outstanding,theory_kind,theorem,2,1,0.5,2,2.0,2.0,2.0,1.0,3.0,0.0,4.0
ICLR,outstanding,theory_module,appendix,2,1,0.5,2,7.0,7.0,7.0,3.5,10.5,0.0,14.0
ICLR,outstanding,theory_module,experimental_design,2,1,0.5,2,0.5,0.5,0.5,0.25,0.75,0.0,1.0
ICLR,outstanding,theory_module,method,2,2,1.0,2,2.5,2.5,2.5,1.75,3.25,1.0,4.0
ICLR,outstanding,theory_module,results,2,1,0.5,2,2.5,2.5,2.5,1.25,3.75,0.0,5.0
ICLR,outstanding,theory_module,theory,2,2,1.0,2,9.0,9.0,9.0,7.5,10.5,6.0,12.0
ICLR,outstanding,theory_role,core_chain,2,2,1.0,2,13.5,13.5,13.5,7.75,19.25,2.0,25.0
ICLR,outstanding,theory_role,diagnostic,2,2,1.0,2,1.5,1.5,1.5,1.25,1.75,1.0,2.0
ICLR,outstanding,theory_role,explanation,2,2,1.0,2,4.5,4.5,4.5,4.25,4.75,4.0,5.0
ICLR,outstanding,theory_role,guarantee,2,1,0.5,2,2.0,2.0,2.0,1.0,3.0,0.0,4.0
ICLR,outstanding,appendix_category,ablation,2,1,0.5,2,2.0,2.0,2.0,1.0,3.0,0.0,4.0
ICLR,outstanding,appendix_category,additional_result,2,1,0.5,2,0.5,0.5,0.5,0.25,0.75,0.0,1.0
ICLR,outstanding,appendix_category,extended_method,2,1,0.5,2,1.5,1.5,1.5,0.75,2.25,0.0,3.0
ICLR,outstanding,appendix_category,implementation_detail,2,1,0.5,2,1.0,1.0,1.0,0.5,1.5,0.0,2.0
ICLR,outstanding,appendix_category,other,2,1,0.5,2,1.0,1.0,1.0,0.5,1.5,0.0,2.0
ICLR,outstanding,appendix_category,proof,2,1,0.5,2,3.5,3.5,3.5,1.75,5.25,0.0,7.0
ICLR,outstanding,appendix_category,qualitative_example,2,1,0.5,2,0.5,0.5,0.5,0.25,0.75,0.0,1.0
ICLR,outstanding,appendix_category,reproducibility,2,1,0.5,2,1.0,1.0,1.0,0.5,1.5,0.0,2.0
ICLR,outstanding,appendix_category,robustness,2,1,0.5,2,0.5,0.5,0.5,0.25,0.75,0.0,1.0
ICLR,outstanding,claim_status,closed,2,2,1.0,2,4.5,4.5,4.5,3.75,5.25,3.0,6.0
ICLR,outstanding,claim_status,not_testable_here,2,1,0.5,2,1.0,1.0,1.0,0.5,1.5,0.0,2.0
ICLR,outstanding,claim_status,partially_closed,2,2,1.0,2,2.5,2.5,2.5,2.25,2.75,2.0,3.0
